Gene symbol	Description	Astrocytes	Neuron	Oligodendrocyte Precursor Cell	Newly Formed Oligodendrocyte	Myelinating Oligodendrocytes	Microglia	Endothelial Cells	cell-cell adhesion	cell surface	opc_fold_change	endothelial_fold_change
1110008L16Rik	Mitochondrial ribonuclease P protein 3	2.7918	1.542	2.1535	2.2516	0.91342	0.82512	4.5672	0	0	1.2373	1.3871
1110008P14Rik	UPF0184 protein C9orf16 homolog	6.6893	20.254	13.08	16.587	26.213	9.8239	10.379	0	0	-1.0029	-0.5731
1110012D08Rik		29.596	4.0005	15.615	12.719	9.4596	11.833	20.892	0	0	0.72312	0.59089
1110012J17Rik		2.9138	17.066	6.3629	1.9273	0.69471	0.17705	3.4669	0	0	3.1952	-0.48642
1110012L19Rik	Uncharacterized protein CXorf40 homolog	4.7854	5.6668	6.2496	5.8925	6.2113	2.761	11.24	0	0	0.0088631	1.0952
1110014N23Rik		14.537	18.294	16.08	12.756	9.8785	22.444	10.318	0	0	0.70286	-0.60236
1110017D15Rik	Spermatid-specific manchette-related protein 1	1.6365	1.2414	0.64756	0.30721	0.24717	0.70463	0.44477	0	0	1.3895	-0.84227
1110017F19Rik		0.1	0.1	0.1	0.12817	0.1	0.1	0.1	0	0	0	-0.066186
1110018G07Rik		15.138	13.349	18.921	18.854	12.85	8.3567	5.3919	0	0	0.55825	-1.4349
1110018J18Rik		3.5438	1.3148	8.5116	8.0518	4.2743	4.797	25.73	0	0	0.99372	2.3399
1110020A21Rik		0.7002	0.79504	0.95041	0.41058	0.72785	0.12004	1.563	0	0	0.3849	1.3401
1110020G09Rik		28.873	6.348	9.8779	5.0464	3.7265	1.765	4.9061	0	0	1.4064	-0.91843
1110021J02Rik		5.5477	7.0825	7.0796	6.9439	4.8274	2.3776	5.1787	0	0	0.55243	-0.1239
1110021L09Rik		11.917	4.9736	10.552	2.8629	0.3765	1.7055	2.4351	0	0	4.8087	-1.1484
1110028C15Rik		5.8845	3.143	3.9161	1.5651	0.50328	2.2781	6.1575	0	0	2.96	1.0954
1110031I02Rik		6.7255	4.5099	8.8773	5.8921	6.7072	5.1175	8.0792	0	0	0.40442	0.35773
1110032A03Rik	UPF0686 protein C11orf1 homolog	3.1583	3.4218	5.3714	8.383	15.05	4.0878	5.3359	0	0	-1.4864	-0.30207
1110032A04Rik		0.35368	0.28172	0.10041	0.1	0.10482	0.10797	0.1	0	0	-0.061998	-0.80542
1110032F04Rik	Uncharacterized membrane protein C3orf80 homolog	3.6105	0.98813	2.231	0.41251	0.22004	0.10894	0.1	0	0	3.3419	-3.6575
1110034A24Rik		2.3097	3.6527	3.3661	2.3549	1.83	1.2206	1.7605	0	0	0.87922	-0.48015
1110034B05Rik		8.0393	5.8485	8.3639	4.0244	2.3075	0.75824	3.6489	0	0	1.8579	-0.42245
1110034G24Rik	Uncharacterized protein C20orf196 homolog	5.2186	2.9238	5.3176	3.0111	2.2631	4.7658	30.562	0	0	1.2325	2.964
1110036E04Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1110037F02Rik	Protein virilizer homolog	7.0677	4.6983	6.0153	4.0989	1.1369	2.1201	10.696	0	0	2.4035	1.3522
1110038B12Rik		6.3379	8.0029	7.6273	8.8248	2.1091	6.8091	13.474	0	0	1.8545	1.0256
1110038D17Rik		6.4777	3.2089	3.8374	3.3213	2.6406	6.2408	5.1365	0	0	0.53925	0.26055
1110038F14Rik	UPF0488 protein C8orf33 homolog	13.623	7.2916	17.603	10.554	6.8667	6.9118	13.882	0	0	1.3581	0.40628
1110046J04Rik		0.1	0.47389	0.34025	0.77566	1.1293	0.13248	0.16666	0	0	-1.7307	-1.5615
1110049F12Rik		9.2257	24.196	24.514	22.751	34.9	25.489	12.704	0	0	-0.50963	-0.88817
1110051M20Rik	UPF0705 protein C11orf49 homolog	8.4103	18.908	17.912	14.794	13.377	4.3632	5.1253	0	0	0.42119	-1.3384
1110054M08Rik		6.1784	1.2711	3.2102	0.59849	0.41235	2.2914	3.7087	0	0	2.9608	0.67245
1110054O05Rik		1.9904	2.6712	4.5523	4.1436	2.2999	3.6013	1.5189	0	0	0.98501	-1.0794
1110057K04Rik	UPF0554 protein C2orf43 homolog	11	9.1018	21.249	35.471	43.064	11.447	6.6066	0	0	-1.0191	-1.7282
1110058L19Rik	UPF0369 protein C6orf57 homolog	7.0498	13.275	14.643	12.539	9.8218	6.6047	15.202	0	0	0.57611	0.51268
1110059E24Rik	Uncharacterized protein C9orf85 homolog	9.3241	5.8903	9.7032	5.2905	3.9946	2.9512	15.36	0	0	1.2804	1.3106
1110059G10Rik	Uncharacterized protein KIAA1143 homolog	1.692	2.0097	2.5931	1.3151	1.2764	0.80124	3.8418	0	0	1.0226	1.2506
1110059M19Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1110065P20Rik	Uncharacterized protein C1orf122 homolog	17.565	28.505	27.749	30.401	45.134	13.786	24.657	0	0	-0.70177	-0.14108
1110067D22Rik		22.292	15.536	26.888	6.3009	1.2615	0.78137	7.0256	0	0	4.4138	-0.79342
1190002F15Rik		0.12926	0.1	0.59342	0.1	0.1	0.1	0.20658	0	0	2.5691	0.14279
1190002H23Rik		73.407	5.257	96.517	24.582	2.9185	2.8524	73.282	0	0	5.0475	1.0971
1190002N15Rik	Deleted in autism protein 1 homolog	4.8513	20.002	9.8564	12.341	4.815	1.2648	2.4007	0	0	1.0335	-1.8831
1190003J15Rik		0.18793	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.19731
1190003K10Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1190005F20Rik		6.9456	3.0129	5.5387	2.9135	1.2273	2.7854	2.8079	0	0	2.1741	-0.41249
1190005I06Rik	Uncharacterized protein C16orf74 homolog	3.3028	2.6212	1.0576	1.5419	3.7004	1.3399	0.34534	0	0	-1.8068	-2.7106
1190007F08Rik		0.50469	1.7369	1.9845	8.5271	20.731	5.0498	0.33422	0	0	-3.385	-4.2642
1190007I07Rik	Uncharacterized protein C12orf73 homolog	0.97265	1.0879	1.4349	0.50196	0.81007	1.5485	3.0353	0	0	0.82485	1.5187
1200009I06Rik		0.52019	0.1	0.18111	0.1	0.1	0.50752	2.4647	0	0	0.85686	3.293
1200011I18Rik		2.6828	5.8637	3.489	3.1587	1.7349	1.779	5.5864	0	0	1.008	0.84128
1200011M11Rik		5.0516	5.3012	6.0039	4.1896	1.9398	4.8543	3.3418	0	0	1.63	-0.44737
1200014J11Rik	Uncharacterized protein C17orf85 homolog	4.2879	3.199	4.4522	2.5162	1.1229	5.7739	5.8426	0	0	1.9873	0.71525
1200016B10Rik		4.173	1.2626	2.6952	1.9821	0.79022	0.76996	5.4386	0	0	1.7701	1.4831
1300001I01Rik		22.34	9.4626	8.3434	5.7663	3.4082	11.49	3.6045	0	0	1.2916	-1.4915
1300002E11Rik		5.9088	3.0327	4.9209	3.087	2.9762	0.76636	5.4883	0	0	0.72544	0.67032
1300002K09Rik		0.1	0.1	0.1	0.10323	0.1	0.1	0.1	0	0	0	-0.0077564
1300010F03Rik		15.567	2.9774	7.441	5.224	2.3221	1.8496	7.2977	0	0	1.6801	0.3075
1300014I06Rik		2.9687	2.4826	33.648	26.021	1.7427	9.0959	15.375	0	0	4.2711	0.28034
1300015D01Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1300017J02Rik	Inhibitor of carbonic anhydrase	0.1	0.1	0.12511	0.22959	0.1	0.1	0.1	0	0	0.32317	-0.33093
1300018I17Rik		9.7248	15.235	13.106	8.8045	6.1925	19.715	3.8513	0	0	1.0817	-1.6551
1300018J18Rik		8.1628	6.6766	10.334	12.045	10.935	8.8161	9.6513	0	0	-0.081576	0.023557
1500001M20Rik		2.6356	4.1936	4.1746	2.0989	1.4099	2.6797	5.1879	0	0	1.566	0.85644
1500002O10Rik		2.0973	0.12292	0.1	0.1	0.1	0.1	0.1783	0	0	0	-1.2924
1500002O20Rik		9.0848	10.683	10.905	9.2762	9.2605	25.562	8.7077	0	0	0.23577	-0.51715
1500003O03Rik		17.757	21.427	22.311	21.736	19.378	13.896	28.672	0	0	0.2033	0.56228
1500004A13Rik		0.95456	1.0509	0.85874	0.60714	0.4695	0.1	0.1	0	0	0.8711	-2.7516
1500009C09Rik		25.458	12.71	31.461	12.419	6.4641	2.8456	0.63487	0	0	2.2831	-4.584
1500009L16Rik	Overexpressed in colon carcinoma 1 protein homolog	2.0251	29.778	5.94	1.2322	0.92912	0.41749	0.87412	0	0	2.6765	-2.9426
1500010J02Rik		9.341	12.981	11.694	4.7849	3.2688	24.13	4.1934	0	0	1.839	-1.3957
1500011B03Rik		5.0865	25.258	5.3938	17.692	20.808	3.0719	8.2717	0	0	-1.9477	-0.63942
1500011H22Rik		9.5681	22.606	20.537	11.509	7.9829	2.9817	14.803	0	0	1.3632	0.24039
1500011K16Rik		1.8048	0.78011	0.11186	1.3232	2.0297	1.2649	0.1	0	0	-4.1815	-3.6077
1500012F01Rik		17.85	63.874	24.487	20.204	22.381	23.063	59.66	0	0	0.12973	1.0586
1500015A07Rik		2.749	6.0388	4.7322	3.7483	4.4271	3.2633	1.5682	0	0	0.09613	-1.4074
1500015O10Rik	Augurin	0.19717	0.20264	0.10697	0.1	0.1	0.1	0.58746	0	0	0.097159	2.1273
1500016L03Rik		0.1	23.29	0.1	0.1	0.1	0.1	0.1	0	0	0	-5.3092
1500017E21Rik		0.47294	0.17695	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.8072
1500031L02Rik		5.3681	8.4713	9.2358	4.4558	2.8354	1.1039	5.4571	0	0	1.7037	0.057181
1500032L24Rik		40.898	60.15	83.167	109.1	129.54	68.774	92.464	0	0	-0.63935	0.17434
1520402A15Rik		6.0183	1.9509	2.5365	0.80952	0.98022	0.45534	0.25205	0	0	1.3717	-3.0758
1600002D24Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1600002H07Rik	Uncharacterized protein C16orf59 homolog	2.5944	3.023	2.5826	1.4956	1.1593	1.3614	1.618	0	0	1.1555	-0.33156
1600002K03Rik	Uncharacterized membrane protein C19orf24 homolog	3.0176	1.8478	4.5383	3.7598	3.597	8.0087	1.9401	0	0	0.33535	-1.0894
1600010M07Rik		0.1	0.1	0.22014	0.1	0.1	1.2526	0.1	0	0	1.1384	-1.6421
1600012F09Rik		4.5749	3.2537	5.4272	4.9838	2.3801	1.686	2.4129	0	0	1.1892	-0.62361
1600012H06Rik	UPF0669 protein C6orf120 homolog	12.594	8.1704	8.4394	8.0811	7.9501	4.4982	6.3859	0	0	0.086155	-0.37629
1600014C10Rik	Protein C19orf12 homolog	1.4704	3.6818	3.1683	2.8058	1.1829	8.1031	4.6784	0	0	1.4213	0.45962
1600014C23Rik		1.4188	0.1	0.34138	0.124	0.12835	0.1	0.1	0	0	1.4113	-1.8827
1600014K23Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1600015I10Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1600016N20Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1600019K03Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1600020E01Rik		15.763	8.4457	9.594	5.3472	3.8642	6.0012	9.7914	0	0	1.312	0.26133
1600021P15Rik		5.5358	9.9313	25.8	15	3.4984	0.61858	2.2281	0	0	2.8826	-2.1753
1600025M17Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1600027N09Rik		5.9162	4.6209	6.0154	5.1528	1.5039	3.8296	5.5246	0	0	2	0.29387
1600029D21Rik		0.1	0.1	0.1	0.1	0.1	0.28663	0.1	0	0	0	-0.39072
1600029I14Rik		0.1	0.11749	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.041463
1600029O15Rik		0.1	1.1768	0.1	0.1	0.1	0.1	0.1	0	0	0	-1.4827
1700001C02Rik	UPF0573 protein C2orf70 homolog	0.22996	0.1055	0.1	0.1	0.1	0.1	0.10125	0	0	0	-0.27582
1700001C19Rik		0.1	0.1	0.1	0.1	0.1	0.89071	1.3768	0	0	0	2.5704
1700001F09Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700001G11Rik		0.15999	0.25923	0.32812	0.2123	0.22888	0.1	0.16919	0	0	0.5196	-0.344
1700001G17Rik		0.15979	0.38957	0.77672	0.22036	0.23397	0.1	0.30957	0	0	1.7311	-0.017746
1700001J03Rik		0.30163	0.1	0.1	0.1	0.1	0.1	0.11327	0	0	0	-0.23818
1700001J11Rik		0.20382	0.18637	0.13839	0.22151	0.1	0.11198	0.51195	0	0	0.46872	1.6748
1700001K19Rik		0.1	0.15171	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.11928
1700001K23Rik		0.1	1.2168	0.12378	0.1	0.1	0.37964	0.16178	0	0	0.30778	-1.0575
1700001L05Rik		0.1	0.53548	0.1456	0.1	0.1	0.74255	0.1	0	0	0.54197	-1.5224
1700001L19Rik	Uncharacterized protein C5orf49 homolog	0.21185	1.5229	0.51217	0.1	0.19016	0.12733	0.11785	0	0	1.4294	-1.9138
1700001O22Rik		2.1411	0.68774	3.3188	0.76974	0.7032	0.27665	0.77907	0	0	2.2386	-0.75655
1700001P01Rik	Uncharacterized protein C17orf98 homolog	0.1	0.18675	0.13354	3.1501	3.1838	0.1	0.34352	0	0	-4.5754	-1.7335
1700003E16Rik	Uncharacterized protein C2orf81 homolog	0.38543	2.4132	1.1841	0.36084	1.1595	1.692	0.1	0	0	0.030224	-3.584
1700003F12Rik		0.50355	0.27985	0.29871	0.1	0.1	5.9707	0.24277	0	0	1.5787	-2.3159
1700003G13Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700003G18Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700003H04Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700003L19Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700003M02Rik	UPF0704 protein C6orf165 homolog	0.56875	0.27215	0.1	0.1	0.1	0.1	0.35098	0	0	0	0.76304
1700003M07Rik		5.2622	0.50479	1.6275	0.31348	0.20881	0.1	0.1	0	0	2.9624	-3.74
1700006A11Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700006E09Rik	Uncharacterized protein C17orf105 homolog	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700007B14Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700007E06Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700007F19Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700007G11Rik	Uncharacterized protein C4orf22 homolog	0.43453	0.10839	0.1846	0.16323	0.1	0.1	0.14817	0	0	0.88438	-0.29507
1700007I08Rik		0.18335	0.12313	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.23569
1700007K09Rik	Protein FAM24A-like	0.6589	0.19414	0.10973	0.23162	0.1	0.16951	0.10666	0	0	0.13394	-1.1938
1700007K13Rik	UPF0691 protein C9orf116 homolog	2.3358	0.41471	0.17516	0.1	0.19603	0.1	0.2729	0	0	-0.1624	-1.0205
1700007P06Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700008A04Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700008F21Rik		0.1	0.10276	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.0066116
1700008I05Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700008J07Rik		0.29274	0.42494	0.52278	0.24561	0.18793	0.2397	0.14673	0	0	1.4761	-1.1201
1700008K24Rik		0.1	0.1386	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.08994
1700008O03Rik	Putative uncharacterized protein C19orf81 homolog	0.20456	0.60618	0.19796	0.40658	0.37008	0.10694	0.1	0	0	-0.90264	-1.6571
1700008P02Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700008P20Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700009J07Rik		0.1	0.1	0.12103	0.1	0.1	0.20102	0.1	0	0	0.27532	-0.26713
1700009N14Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700009P17Rik	UPF0740 protein C1orf192 homolog	0.67331	0.1	0.10775	0.12877	0.15395	0.59164	0.58354	0	0	-0.51473	0.99605
1700010B08Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700010D01Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700010I02Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700010I14Rik		1.531	0.53717	0.78284	0.5912	0.60404	0.39977	0.35454	0	0	0.37407	-1.0636
1700010J16Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700010K23Rik		0.1	0.10839	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.020028
1700010M22Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700011A15Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700011E24Rik	Uncharacterized protein C2orf61 homolog	0.1	0.1	0.10528	0.1	0.1	0.1	0.1	0	0	0.074279	-0.012649
1700011F03Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700011F14Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700011H14Rik	Uncharacterized protein C14orf105 homolog	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700011I03Rik		0.1	0.1	0.1	0.1	0.1	0.10787	0.10698	0	0	0	0.078576
1700011L22Rik	Uncharacterized protein C4orf51 homolog	0.12796	0.1	0.1	0.1	0.1	0.1	0.1095	0	0	0	0.065196
1700011M02Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700012A03Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700012A16Rik		0.1	0.59248	0.20108	0.57768	0.29712	0.1	0.1	0	0	-0.56324	-1.6387
1700012B07Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700012B09Rik		0.36833	0.1022	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.53694
1700012B15Rik		9.5972	11.694	10.628	9.7422	8.3378	14.014	8.2054	0	0	0.35014	-0.37879
1700012D14Rik		0.51257	0.49239	0.36911	0.27895	0.25783	0.1	0.13325	0	0	0.51763	-1.3307
1700012L04Rik	Histone H2A	0.16359	0.1	0.14915	0.1	0.1	0.1	0.16336	0	0	0.57674	0.45969
1700012P22Rik	Uncharacterized protein C1orf158 homolog	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700013D24Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700013F07Rik	Uncharacterized protein C1orf194 homolog	0.1	0.2931	0.1	0.1	0.1	0.1	0.14213	0	0	0	0.10463
1700013G24Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700013H16Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.14051	0	0	0	0.49064
1700013N18Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700014N06Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700015E13Rik	Uncharacterized protein C1orf111 homolog	0.15682	0.11635	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.16601
1700015F17Rik		0.12945	0.10071	0.1073	0.1	0.11248	0.1	0.1	0	0	-0.06802	-0.11532
1700015G11Rik	Coiled-coil domain-containing protein 179	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700016C15Rik	Uncharacterized protein C1orf100 homolog	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700016D06Rik		0.1	0.1	0.1	0.1	0.10527	0.1	0.1	0	0	-0.07406	-0.01261
1700016H13Rik	Uncharacterized protein C4orf36 homolog	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700016K19Rik	Uncharacterized protein C17orf97 homolog	0.32522	0.33847	0.15839	0.1	0.20971	0.15904	0.35007	0	0	-0.40497	0.70238
1700016L21Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700016M24Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700016P04Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700017B05Rik	Uncharacterized protein C15orf39 homolog	3.659	0.90235	3.7995	0.90605	0.53553	74.462	7.7504	0	0	2.8268	-0.85762
1700017D01Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700017G19Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700017J07Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700017N19Rik		0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	3.2034e-16
1700018A04Rik		0.1	0.1	0.1	0.1	0.1	0.1	1.2141	0	0	0	3.6019
1700018A14Rik		0.10102	0.22745	0.1	0.1	0.1	0.1	0.1	0	0	0	-0.27992
